DOLocationID,payment_type,congestion_surcharge,total_amount,tip_amount
1,1.0,0.0,108.05,15.0
1,2.0,0.0,93.55,0.0
1,1.0,0.0,93.19,18.64
1,1.0,0.0,117.96,19.66
1,1.0,0.0,141.31,28.26
1,1.0,0.0,119.01,19.51
1,1.0,2.75,75.3,5.0
1,1.0,0.0,83.05,0.0
1,1.0,0.0,123.66,20.61
1,2.0,0.0,92.05,0.0
1,1.0,0.0,91.86,15.31
1,1.0,0.0,118.55,11.0
1,1.0,0.0,93.06,15.51
1,1.0,0.0,106.8,17.8
1,1.0,2.75,107.4,10.1
1,2.0,0.0,76.55,0.0
1,1.0,0.0,96.5,1.0
1,2.0,2.75,100.55,0.0
1,1.0,2.75,94.25,15.38
1,1.0,0.0,116.31,23.26
1,2.0,0.0,83.55,0.0
1,1.0,0.0,108.55,13.0
1,1.0,0.0,132.79,25.0
1,1.0,0.0,103.41,16.91
1,2.0,0.0,72.05,0.0
1,1.0,0.0,106.25,17.7
1,1.0,0.0,113.79,5.0
1,1.0,0.0,95.05,10.0
1,2.0,0.0,96.75,0.0
1,1.0,0.0,102.41,13.36
1,1.0,0.0,120.36,20.06
1,1.0,0.0,108.05,11.0
1,1.0,0.0,124.05,20.0
1,1.0,0.0,105.8,10.0
1,1.0,0.0,124.35,18.8
1,1.0,0.0,114.06,19.01
1,2.0,0.0,91.7,0.0
1,1.0,0.0,111.55,10.0
1,1.0,0.0,116.3,23.26
1,1.0,0.0,62.8,0.0
1,1.0,0.0,118.55,15.0
1,1.0,0.0,129.35,21.56
1,1.0,0.0,105.05,5.0
1,1.0,0.0,90.05,10.0
1,1.0,0.0,129.66,21.61
1,1.0,0.0,132.47,22.08
1,1.0,0.0,96.31,19.26
1,2.0,0.0,100.05,0.0
1,1.0,2.75,143.05,0.0
1,1.0,0.0,128.46,21.41
1,1.0,0.0,153.91,20.0
1,1.0,2.75,78.96,13.16
1,1.0,0.0,89.77,14.14
1,1.0,0.0,117.56,23.51
1,1.0,0.0,118.86,19.81
1,1.0,0.0,113.05,15.0
1,1.0,2.75,102.8,15.0
1,1.0,2.75,72.59,11.77
1,2.0,0.0,98.05,0.0
1,2.0,2.75,118.64,0.0
1,1.0,0.0,112.85,18.8
1,1.0,0.0,96.88,10.08
1,1.0,0.0,95.46,15.91
1,1.0,2.75,79.33,12.4
1,2.0,0.0,112.3,0.0
1,1.0,0.0,118.86,19.81
1,1.0,0.0,84.05,0.0
1,1.0,0.0,127.86,21.31
1,1.0,0.0,90.05,0.0
1,1.0,2.75,108.06,18.01
1,1.0,0.0,44.76,7.46
1,1.0,2.75,86.8,20.0
1,1.0,0.0,144.55,50.0
1,1.0,0.0,101.05,10.0
1,1.0,2.75,75.36,12.56
1,2.0,0.0,93.55,0.0
1,1.0,0.0,120.06,20.01
1,1.0,0.0,73.54,6.51
1,1.0,0.0,99.67,16.29
1,1.0,2.75,95.31,15.56
1,1.0,0.0,145.55,0.0
1,1.0,0.0,130.05,10.0
1,1.0,0.0,125.46,20.91
1,1.0,0.0,78.8,0.0
1,1.0,0.0,111.66,18.61
1,1.0,0.0,101.3,1.0
1,1.0,0.0,79.75,0.0
1,1.0,2.75,64.36,3.06
1,2.0,0.0,81.75,0.0
