DOLocationID,payment_type,congestion_surcharge,total_amount,tip_amount
185,2.0,0.0,27.3,0.0
208,1.0,0.0,27.8,3.0
18,2.0,0.0,10.8,0.0
169,2.0,0.0,7.3,0.0
247,2.0,0.0,10.8,0.0
182,2.0,0.0,24.8,0.0
169,2.0,0.0,8.3,0.0
247,2.0,0.0,11.8,0.0
241,2.0,0.0,11.3,0.0
167,2.0,0.0,15.8,0.0
60,2.0,0.0,13.8,0.0
159,2.0,0.0,4.8,0.0
47,2.0,0.0,14.3,0.0
168,1.0,0.0,7.25,1.45
168,2.0,0.0,8.8,0.0
168,2.0,0.0,7.3,0.0
119,2.0,0.0,11.8,0.0
60,2.0,0.0,15.8,0.0
94,2.0,0.0,14.8,0.0
185,1.0,0.0,7.56,1.26
159,2.0,0.0,5.3,0.0
242,2.0,0.0,7.8,0.0
20,2.0,0.0,3.8,0.0
212,2.0,0.0,12.8,0.0
259,1.0,0.0,21.96,3.66
94,2.0,0.0,14.8,0.0
159,2.0,0.0,31.42,0.0
212,2.0,0.0,15.8,0.0
126,2.0,0.0,14.3,0.0
167,2.0,0.0,5.8,0.0
47,2.0,0.0,12.3,0.0
241,2.0,0.0,17.3,0.0
168,2.0,0.0,19.3,0.0
168,2.0,0.0,8.8,0.0
136,2.0,0.0,13.3,0.0
168,1.0,0.0,9.8,0.0
47,1.0,0.0,7.8,0.0
31,1.0,0.0,23.34,3.04
242,2.0,0.0,21.3,0.0
159,2.0,0.0,14.3,0.0
169,2.0,0.0,11.8,0.0
47,2.0,0.0,12.3,0.0
136,1.0,0.0,10.8,0.0
250,2.0,0.0,23.8,0.0
169,2.0,0.0,12.3,0.0
119,2.0,0.0,6.3,0.0
126,2.0,0.0,19.3,0.0
242,1.0,0.0,6.96,1.16
250,1.0,0.0,14.8,2.0
250,2.0,0.0,21.3,0.0
168,2.0,0.0,11.3,0.0
241,1.0,0.0,25.0,0.0
169,2.0,0.0,20.3,0.0
69,1.0,0.0,12.25,2.45
168,1.0,0.0,11.76,1.96
147,1.0,0.0,17.3,1.0
119,1.0,0.0,13.3,0.0
119,2.0,0.0,9.8,0.0
168,2.0,0.0,8.8,0.0
168,2.0,0.0,8.3,0.0
168,2.0,0.0,8.8,0.0
174,2.0,0.0,16.3,0.0
174,2.0,0.0,6.3,0.0
182,2.0,0.0,13.8,0.0
60,2.0,0.0,17.3,0.0
220,2.0,0.0,22.8,0.0
147,2.0,0.0,12.3,0.0
213,2.0,0.0,21.3,0.0
3,1.0,0.0,17.8,1.0
248,2.0,0.0,15.3,0.0
213,2.0,0.0,7.8,0.0
213,1.0,0.0,11.3,0.0
147,2.0,0.0,17.3,0.0
250,2.0,0.0,20.8,0.0
169,2.0,0.0,7.3,0.0
241,2.0,0.0,21.3,0.0
147,2.0,0.0,9.8,0.0
69,1.0,0.0,9.8,0.0
126,2.0,0.0,15.3,0.0
169,1.0,0.0,14.8,0.0
168,2.0,0.0,9.3,0.0
242,2.0,0.0,17.3,0.0
47,2.0,0.0,16.3,0.0
168,2.0,0.0,13.8,0.0
247,2.0,0.0,10.3,0.0
69,2.0,0.0,14.8,0.0
169,2.0,0.0,10.3,0.0
47,1.0,0.0,9.8,0.0
136,2.0,0.0,16.3,0.0
32,1.0,0.0,14.3,11.0
159,2.0,0.0,12.3,0.0
247,1.0,0.0,12.8,2.0
119,2.0,0.0,5.8,0.0
167,2.0,0.0,9.8,0.0
247,2.0,0.0,7.8,0.0
247,1.0,0.0,6.3,0.0
18,1.0,0.0,9.8,1.0
167,2.0,0.0,19.3,0.0
200,2.0,0.0,16.1,0.0
200,1.0,0.0,20.8,0.0
169,2.0,0.0,49.92,0.0
168,2.0,0.0,15.3,0.0
20,2.0,0.0,18.8,0.0
235,2.0,0.0,8.3,0.0
136,2.0,0.0,17.8,0.0
250,2.0,0.0,15.8,0.0
168,2.0,0.0,11.8,0.0
18,2.0,0.0,16.3,0.0
168,1.0,0.0,18.96,3.16
241,2.0,0.0,11.3,0.0
213,1.0,0.0,19.8,0.0
247,1.0,0.0,7.88,1.58
168,2.0,0.0,5.3,0.0
69,2.0,0.0,18.3,0.0
3,2.0,0.0,15.0,0.0
20,2.0,0.0,8.8,0.0
247,2.0,0.0,18.8,0.0
250,1.0,0.0,15.3,0.0
185,2.0,0.0,37.8,0.0
168,2.0,0.0,4.3,0.0
182,1.0,0.0,9.8,0.0
168,2.0,0.0,12.3,0.0
185,1.0,0.0,27.0,0.0
241,1.0,0.0,15.3,0.0
242,2.0,0.0,5.3,0.0
169,1.0,0.0,50.8,0.0
69,2.0,0.0,11.8,0.0
47,1.0,0.0,14.3,0.0
168,1.0,0.0,8.84,2.04
250,1.0,0.0,21.8,0.0
212,2.0,0.0,40.8,0.0
247,1.0,0.0,9.3,0.0
247,2.0,0.0,8.3,0.0
182,2.0,0.0,6.3,0.0
18,1.0,0.0,53.42,0.0
167,2.0,0.0,11.3,0.0
167,1.0,0.0,10.8,0.0
185,1.0,0.0,26.76,4.46
20,1.0,0.0,11.3,0.0
119,2.0,0.0,14.3,0.0
136,2.0,0.0,16.8,0.0
183,2.0,0.0,39.42,0.0
69,2.0,0.0,12.3,0.0
212,2.0,0.0,5.8,0.0
159,2.0,0.0,9.3,0.0
47,2.0,0.0,14.8,0.0
212,1.0,0.0,13.8,0.0
94,2.0,0.0,9.3,0.0
235,2.0,0.0,9.3,0.0
242,1.0,0.0,65.92,0.0
248,2.0,0.0,21.3,0.0
241,1.0,0.0,14.3,0.0
174,1.0,0.0,7.24,0.94
119,2.0,0.0,12.8,0.0
212,1.0,0.0,96.42,0.0
235,2.0,0.0,17.8,0.0
94,1.0,0.0,31.8,12.0
51,2.0,0.0,25.3,0.0
168,2.0,0.0,10.3,0.0
247,2.0,0.0,6.3,0.0
94,2.0,0.0,8.8,0.0
169,2.0,0.0,7.8,0.0
119,2.0,0.0,10.8,0.0
169,1.0,0.0,7.8,0.0
147,2.0,0.0,14.8,0.0
168,2.0,0.0,9.8,0.0
235,2.0,0.0,9.3,0.0
247,2.0,0.0,7.3,0.0
167,2.0,0.0,23.3,0.0
31,2.0,0.0,9.8,0.0
247,2.0,0.0,8.8,0.0
81,2.0,0.0,30.3,0.0
254,2.0,0.0,5.8,0.0
185,2.0,0.0,8.8,0.0
136,2.0,0.0,14.8,0.0
69,1.0,0.0,7.3,0.0
235,1.0,0.0,19.8,0.0
32,2.0,0.0,11.8,0.0
168,1.0,0.0,7.3,0.0
168,2.0,0.0,7.8,0.0
126,2.0,0.0,19.8,0.0
147,2.0,0.0,13.8,0.0
174,2.0,0.0,28.8,0.0
213,1.0,0.0,21.8,0.0
168,2.0,0.0,9.8,0.0
208,1.0,0.0,27.42,0.0
169,1.0,0.0,13.8,0.0
51,1.0,0.0,33.0,0.0
119,1.0,0.0,15.8,0.0
168,2.0,0.0,10.3,0.0
18,2.0,0.0,14.8,0.0
185,2.0,0.0,26.8,0.0
259,1.0,0.0,22.3,0.0
220,1.0,0.0,10.3,0.0
168,2.0,0.0,12.8,0.0
167,1.0,0.0,13.3,0.0
213,1.0,0.0,73.42,0.0
168,1.0,0.0,60.42,0.0
69,2.0,0.0,8.3,0.0
78,2.0,0.0,24.3,0.0
69,2.0,0.0,12.8,0.0
254,2.0,0.0,12.3,0.0
69,2.0,0.0,13.3,0.0
159,2.0,0.0,13.8,0.0
248,5.0,0.0,27.3,0.0
168,2.0,0.0,10.8,0.0
18,2.0,0.0,13.3,0.0
126,2.0,0.0,14.3,0.0
213,1.0,0.0,23.0,0.0
159,2.0,0.0,5.8,0.0
174,2.0,0.0,26.8,0.0
32,2.0,0.0,6.8,0.0
32,1.0,0.0,13.3,0.0
69,1.0,0.0,13.56,2.26
182,1.0,0.0,8.05,2.25
69,2.0,0.0,12.8,0.0
254,1.0,0.0,26.3,0.0
247,2.0,0.0,6.3,0.0
147,1.0,0.0,20.8,0.0
159,2.0,0.0,15.3,0.0
119,2.0,0.0,10.8,0.0
159,2.0,0.0,15.3,0.0
169,2.0,0.0,12.3,0.0
248,2.0,0.0,19.3,0.0
167,2.0,0.0,19.3,0.0
182,2.0,0.0,32.3,0.0
169,1.0,0.0,17.8,0.0
159,2.0,0.0,11.3,0.0
20,2.0,0.0,13.3,0.0
31,2.0,0.0,9.3,0.0
136,2.0,0.0,7.8,0.0
185,2.0,0.0,8.3,0.0
235,2.0,0.0,14.8,0.0
168,2.0,0.0,9.8,0.0
168,4.0,0.0,25.0,0.0
200,1.0,0.0,25.82,2.88
241,1.0,0.0,8.8,0.0
212,1.0,0.0,4.3,0.0
208,1.0,0.0,84.3,39.0
247,1.0,0.0,19.3,0.0
235,2.0,0.0,22.3,0.0
185,1.0,0.0,39.5,6.58
159,2.0,0.0,18.3,0.0
32,2.0,0.0,16.3,0.0
167,1.0,0.0,16.3,0.0
247,1.0,0.0,27.0,0.0
168,2.0,0.0,13.3,0.0
18,2.0,0.0,15.3,0.0
126,1.0,0.0,17.8,1.0
168,2.0,0.0,11.8,0.0
235,2.0,0.0,17.8,0.0
78,1.0,0.0,55.42,0.0
69,2.0,0.0,14.3,0.0
