DOLocationID,payment_type,congestion_surcharge,total_amount,tip_amount
132,1.0,0.0,58.92,0.0
1,1.0,2.75,105.66,17.61
138,1.0,0.0,32.8,10.0
138,1.0,0.0,14.8,2.0
138,1.0,0.0,16.0,3.2
132,1.0,0.0,74.65,17.23
132,1.0,0.0,23.15,3.85
138,1.0,0.0,15.36,2.56
138,1.0,0.0,15.3,2.0
138,1.0,0.0,14.16,2.36
138,1.0,0.0,12.0,0.2
138,1.0,0.0,45.8,7.88
138,2.0,0.0,21.3,0.0
138,2.0,0.0,11.3,0.0
138,1.0,0.0,40.7,6.78
138,1.0,0.0,13.56,2.26
138,1.0,0.0,14.3,1.0
138,2.0,0.0,24.42,0.0
132,2.0,0.0,7.8,0.0
138,1.0,0.0,25.3,0.0
132,2.0,0.0,24.3,0.0
132,2.0,0.0,41.3,0.0
138,1.0,0.0,40.71,5.96
132,1.0,0.0,45.96,7.66
138,1.0,0.0,15.34,3.54
138,2.0,0.0,12.8,0.0
138,1.0,0.0,14.76,2.46
132,1.0,0.0,62.3,8.0
138,1.0,0.0,30.92,4.0
138,2.0,0.0,12.3,0.0
138,1.0,0.0,18.8,3.0
138,2.0,0.0,14.3,0.0
132,2.0,0.0,22.8,0.0
132,1.0,0.0,70.7,11.78
132,1.0,0.0,72.65,11.78
132,1.0,0.0,53.76,8.96
138,1.0,0.0,15.87,2.07
138,1.0,0.0,22.3,2.0
138,1.0,0.0,13.5,2.7
138,1.0,0.0,12.96,2.16
138,2.0,0.0,13.3,0.0
138,1.0,0.0,12.3,0.0
132,2.0,0.0,57.8,0.0
138,2.0,0.0,11.3,0.0
138,2.0,0.0,6.3,0.0
132,1.0,0.0,70.7,11.78
138,1.0,0.0,31.78,6.36
138,1.0,0.0,17.16,2.86
132,1.0,0.0,66.36,11.06
138,1.0,0.0,15.99,3.69
1,2.0,0.0,100.8,0.0
138,1.0,0.0,43.85,6.98
132,1.0,0.0,52.56,8.76
132,1.0,0.0,63.92,5.0
138,1.0,0.0,31.0,0.0
132,2.0,0.0,16.3,0.0
138,1.0,0.0,18.96,3.16
132,1.0,0.0,90.96,15.16
132,1.0,0.0,60.3,8.0
138,1.0,0.0,16.0,3.2
132,2.0,0.0,58.92,0.0
132,1.0,0.0,70.7,11.78
138,1.0,0.0,45.5,7.58
132,1.0,0.0,45.96,7.66
132,2.0,0.0,58.56,0.0
138,1.0,0.0,14.76,2.46
132,1.0,0.0,62.8,10.0
138,2.0,0.0,13.8,0.0
138,1.0,0.0,18.96,3.16
138,2.0,0.0,32.3,0.0
132,1.0,0.0,35.0,0.0
132,2.0,0.0,50.8,0.0
1,1.0,0.0,109.04,0.0
138,2.0,0.0,20.3,0.0
138,1.0,0.0,18.96,3.16
132,1.0,0.0,80.63,7.33
132,1.0,0.0,73.42,10.0
