DOLocationID,total_amount,fare_amount,trip_distance,tip_amount
156,29.55,26.0,7.42,2.75
23,26.05,22.5,5.76,2.75
115,31.05,27.5,7.58,2.75
156,99.29,83.5,31.41,2.75
156,99.79,83.0,30.56,2.75
44,49.55,46.0,16.08,2.75
156,99.29,83.5,31.55,2.75
115,54.05,50.5,17.31,2.75
187,99.79,83.0,28.84,2.75
44,48.55,44.5,15.54,2.75
115,64.55,60.5,17.85,2.75
156,99.29,83.5,31.39,2.75
156,99.79,84.0,30.31,2.75
156,96.79,81.0,30.22,2.75
156,97.79,82.0,30.55,2.75
23,66.79,51.0,17.09,2.75
115,71.79,56.0,16.2,2.75
156,97.79,81.0,29.36,2.75
156,99.29,82.5,31.26,2.75
23,70.29,54.5,18.66,2.75
156,99.79,83.0,30.96,2.75
156,97.79,81.0,29.75,2.75
23,74.79,59.0,20.19,2.75
156,99.29,83.5,31.16,2.75
156,98.29,81.5,29.81,2.75
115,53.79,37.0,9.74,2.75
115,58.3,42.5,15.21,2.75
156,99.29,82.5,31.08,2.75
115,74.8,56.5,15.84,2.75
156,99.79,83.0,31.38,2.75
44,53.55,50.0,16.8,2.75
115,54.55,51.0,17.75,2.75
156,99.29,83.5,31.49,2.75
156,97.79,82.0,30.56,2.75
187,44.05,40.5,12.12,2.75
115,75.79,59.5,17.96,2.75
156,99.79,84.0,31.13,2.75
156,98.79,82.0,29.85,2.75
251,96.91,75.0,27.81,2.75
156,13.55,10.0,0.75,2.75
156,99.79,84.0,31.19,2.75
251,98.79,82.0,26.7,2.75
156,95.79,79.0,28.76,2.75
156,97.79,82.0,31.25,2.75
23,69.29,53.5,19.15,2.75
23,86.79,71.0,25.24,2.75
156,99.29,83.0,31.15,2.75
156,99.29,83.0,31.3,2.75
156,98.79,82.5,30.7,2.75
221,34.55,30.0,1.16,2.75
115,26.55,22.0,2.08,2.75
206,52.54,33.5,10.45,5.0
156,99.29,83.5,29.96,2.75
187,99.79,84.0,30.22,2.75
23,49.79,34.0,11.17,2.75
156,99.79,84.0,31.66,2.75
23,69.79,54.0,19.34,2.75
156,99.29,83.5,31.8,2.75
23,91.29,75.5,25.69,2.75
156,99.79,84.0,30.99,2.75
115,74.29,58.5,17.61,2.75
156,94.79,78.0,28.74,2.75
187,41.05,36.5,7.09,2.75
44,38.05,33.5,11.68,2.75
115,51.55,47.0,16.17,2.75
115,75.29,59.0,16.05,2.75
156,79.69,64.4,18.0,2.75
214,34.64,31.59,8.67,2.75
115,32.32,29.27,10.51,2.75
44,67.29,52.0,20.14,2.75
115,46.59,31.3,11.83,2.75
5,60.0,45.43,18.96,2.75
115,49.2,33.91,10.91,2.75
245,98.5,83.21,29.4,2.75
206,29.0,14.43,22.15,2.75
23,88.5,59.46,26.99,2.75
115,49.2,34.63,10.7,2.75
206,96.0,74.59,29.05,2.75
245,81.0,59.09,23.56,2.75
156,68.1,52.81,20.58,2.75
