DOLocationID,total_amount,fare_amount,trip_distance,tip_amount
256,15.38,11.0,3.0,3.08
33,6.96,4.5,0.85,1.16
49,12.25,8.5,1.95,2.45
80,15.3,12.0,3.08,2.0
255,9.9,7.5,1.0,1.1
97,12.09,8.0,1.24,2.79
181,12.25,8.5,1.5,2.45
65,21.3,20.0,1.44,1.0
61,29.3,18.0,4.0,10.0
188,28.8,24.5,7.2,3.0
255,6.36,4.0,0.44,1.06
188,22.49,16.0,3.2,5.19
255,20.38,15.0,3.99,4.08
22,29.75,23.5,7.2,4.95
40,8.15,5.5,1.3,1.35
40,12.36,9.0,2.05,2.06
112,24.8,20.5,6.05,3.0
65,39.75,30.5,9.98,7.95
112,15.36,11.5,2.65,2.56
106,10.56,7.5,1.24,1.76
189,22.56,17.5,5.01,3.76
36,18.36,14.0,3.5,3.06
112,8.19,5.0,0.68,1.89
49,17.76,13.5,3.02,2.96
36,17.8,15.5,3.51,1.0
256,10.8,8.5,1.6,1.0
76,28.8,2.5,0.16,25.0
97,8.16,5.5,0.83,1.36
17,11.3,9.0,2.0,1.0
112,8.76,6.0,1.17,1.46
112,7.56,5.0,0.93,1.26
225,17.76,13.5,2.88,2.96
61,16.8,10.5,2.39,5.0
40,26.15,20.5,5.8,4.35
189,14.91,9.5,1.89,2.16
61,25.71,18.5,4.15,3.96
37,19.56,15.0,3.14,3.26
225,12.96,9.5,2.22,2.16
181,9.12,6.0,0.91,1.82
181,11.44,7.5,1.57,2.64
17,13.5,9.5,1.93,2.7
49,5.76,3.5,0.48,0.96
190,9.96,7.0,1.31,1.66
49,8.76,6.0,1.07,1.46
61,25.71,18.5,4.68,3.96
61,15.36,11.5,2.4,2.56
17,11.16,8.0,1.41,1.86
255,8.16,5.5,0.99,1.36
188,8.84,5.5,0.89,2.04
195,11.16,8.0,2.08,1.86
256,17.75,13.5,3.4,2.95
256,8.75,6.0,0.7,1.45
34,12.88,9.0,2.01,2.58
36,14.76,11.0,2.27,2.46
181,14.16,10.5,2.34,2.36
97,12.09,8.0,1.66,2.79
256,14.16,10.5,2.18,2.36
49,16.0,11.5,2.37,3.2
97,21.84,15.5,3.98,5.04
49,16.46,11.0,2.4,2.21
188,43.11,33.0,9.97,6.86
188,27.36,22.0,0.6,4.56
106,14.16,10.5,2.68,2.36
97,14.15,10.5,2.1,2.35
17,26.3,25.0,1.87,1.0
61,20.31,14.0,3.23,3.06
256,20.54,14.5,3.45,4.74
112,25.38,19.0,4.77,5.08
255,23.16,18.0,4.29,3.86
255,11.76,8.5,0.84,1.96
189,20.54,14.5,3.64,4.74
17,17.21,10.0,2.32,3.96
17,17.25,12.5,3.33,3.45
256,20.8,14.5,3.51,5.0
61,21.51,15.0,3.6,3.26
25,8.19,5.0,0.61,1.89
14,32.16,25.5,8.04,5.36
112,24.12,18.0,4.24,4.82
255,17.8,15.5,4.56,1.0
49,19.56,15.0,3.27,3.26
61,16.56,12.5,2.95,2.76
165,30.29,22.0,6.17,6.99
256,9.96,7.0,1.15,1.66
36,22.88,17.0,3.82,4.58
61,14.76,11.0,2.29,2.46
40,19.13,14.0,3.5,3.83
106,10.0,6.5,1.0,2.2
112,25.55,20.0,5.3,4.25
225,20.16,15.5,3.62,3.36
49,20.76,16.0,4.55,3.46
255,9.96,7.0,1.34,1.66
36,27.8,24.5,6.2,2.0
89,23.5,17.5,4.4,4.7
40,27.36,21.5,6.48,4.56
49,18.3,13.0,2.7,4.0
39,25.38,19.0,5.55,5.08
112,33.36,26.5,8.7,5.56
62,14.65,10.0,2.0,3.35
112,9.95,7.0,1.6,1.65
189,24.36,20.0,0.01,4.06
228,9.8,6.5,1.2,2.0
89,14.16,10.5,2.4,2.36
52,11.75,8.5,2.0,1.95
36,25.56,20.0,4.58,4.26
67,36.3,33.0,11.39,2.0
33,9.35,6.5,1.3,1.55
181,17.16,13.0,2.96,2.86
256,47.55,34.0,10.4,9.5
37,15.96,12.0,2.61,2.66
40,9.96,7.0,1.62,1.66
181,13.56,10.0,1.92,2.26
133,13.56,10.0,2.7,2.26
80,14.16,10.5,2.13,2.36
97,12.36,9.0,1.84,2.06
257,20.0,15.5,4.68,3.2
112,25.56,20.0,5.13,4.26
17,18.59,13.0,2.93,4.29
80,16.62,12.0,3.37,3.32
106,13.56,10.0,2.27,2.26
40,11.62,8.0,1.92,2.32
61,16.11,10.5,2.73,2.36
256,7.3,5.0,0.73,1.0
61,27.04,19.5,5.06,6.24
49,8.5,5.5,0.9,1.7
49,11.62,8.0,1.22,2.32
17,12.36,9.0,2.08,2.06
256,11.44,7.5,1.45,2.64
256,8.5,5.5,0.68,1.7
71,24.96,19.5,5.17,4.16
37,18.96,14.5,2.67,3.16
228,16.56,12.5,2.94,2.76
228,17.76,13.5,3.38,2.96
25,14.16,10.5,2.04,2.36
133,23.8,20.5,6.3,2.0
49,8.76,6.0,1.11,1.46
65,27.36,21.5,5.1,4.56
255,22.3,18.5,4.65,2.5
181,26.0,19.5,4.83,5.2
25,16.56,12.5,3.35,2.76
97,18.3,13.0,3.51,4.0
188,11.76,8.5,1.68,1.96
80,144.36,120.0,0.04,24.06
210,8.19,5.0,0.8,1.89
181,17.38,12.0,2.65,2.13
112,6.36,4.0,0.59,1.06
257,13.5,9.5,2.67,2.7
36,19.56,15.0,3.39,3.26
80,17.29,12.0,3.13,3.99
112,10.3,7.0,1.19,2.0
80,34.19,25.0,5.49,7.89
112,21.8,15.5,3.9,5.0
217,11.75,8.5,1.5,1.95
97,7.56,5.0,0.89,1.26
181,15.3,9.0,1.81,5.0
61,10.56,7.5,1.58,1.76
17,10.56,7.5,1.57,1.76
36,15.36,11.5,2.62,2.56
97,11.0,7.5,1.56,2.2
61,11.16,8.0,1.88,1.86
37,32.24,23.5,7.12,7.44
61,13.56,10.0,2.22,2.26
106,28.98,22.0,6.23,3.73
97,12.36,9.0,1.72,2.06
17,11.16,8.0,1.82,1.86
61,15.34,10.5,1.94,3.54
89,19.75,14.5,3.74,3.95
189,17.76,13.5,3.22,2.96
37,9.75,6.5,1.38,1.95
17,32.91,24.5,8.25,5.16
227,33.51,25.0,6.81,5.26
17,18.96,14.5,3.94,3.16
149,35.8,23.5,7.24,11.0
189,43.8,2.5,0.1,40.0
61,10.35,7.0,0.9,2.05
89,27.51,20.0,5.07,4.26
188,8.91,4.5,0.94,1.16
256,13.0,9.5,2.57,2.2
61,32.8,29.5,9.5,2.0
181,27.88,21.0,5.55,5.58
108,8.75,6.5,1.2,1.45
189,21.62,16.0,3.9,4.32
112,22.56,17.5,5.46,3.76
37,20.54,14.5,3.05,4.74
257,47.25,36.5,12.87,9.45
65,11.16,8.0,1.11,1.86
190,59.4,43.5,14.3,11.85
37,13.0,10.0,1.93,1.7
49,8.76,6.0,1.03,1.46
255,10.14,6.5,1.17,2.34
181,33.36,26.5,7.88,5.56
256,19.56,15.0,3.83,3.26
177,26.45,20.0,5.7,3.2
181,15.38,11.0,2.15,3.08
97,12.74,8.5,1.76,2.94
112,18.36,14.0,3.65,3.06
112,9.75,6.5,1.1,1.95
97,20.15,15.5,3.8,3.35
36,17.76,13.5,3.23,2.96
210,9.12,6.0,1.02,1.82
188,15.75,10.5,2.03,2.0
36,17.16,13.0,3.38,2.86
76,15.75,10.5,2.47,2.0
225,20.16,15.5,2.98,3.36
14,19.75,14.5,4.45,3.95
80,8.75,6.0,1.0,1.45
255,6.36,4.0,0.53,1.06
61,17.88,13.0,3.57,3.58
255,6.8,4.5,0.51,1.0
25,18.3,14.5,4.0,2.5
225,15.36,11.5,3.0,2.56
37,60.66,46.5,15.19,10.11
36,19.3,15.0,3.46,3.0
256,14.76,11.0,2.69,2.46
149,43.55,35.0,12.0,7.25
112,10.1,6.5,1.2,2.3
17,15.3,10.5,2.6,3.5
181,12.36,9.0,1.87,2.06
255,31.62,25.0,2.58,6.32
80,65.3,60.0,0.49,5.0
228,13.56,10.0,2.32,2.26
228,12.36,9.0,1.86,2.06
189,13.83,9.5,2.03,1.08
71,20.8,14.5,3.61,5.0
49,17.16,13.0,3.64,2.86
